course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,adj_gir,less_150_sg,greater_150_sg
"Keene Trace Golf Club",72,7145,457,187,-3.23,-0.04,-0.07,-0.6,290.5,17.5,0.701,0.787,0.054,0.054
"Plantation Course at Kapalua",73,7337,451,190,-2.04,0.07,-0.03,-0.48,290.5,20.1,0.7876,0.7865,-0.008,0.006
"RTJ Trail (Grand National)",71,7095,453,190,-2.13,0.01,-0.06,-0.51,282.9,17,0.7141,0.7805,0.088,0.047
"Sedgefield Country Club",70,6957,442,194,-1.35,-0.03,-0.01,-0.57,285.2,17.8,0.7044,0.7787,0.06,0.079
"Aronimink GC",70,7036,446,199,-1.14,0.04,-0.03,-0.46,286.3,16.5,0.7441,0.7762,0.024,0.047
"Trinity Forest Golf Club",71,7120,457,178,-1.8,-0.02,-0.02,-0.49,287.3,18.4,0.816,0.7733,0.026,0.052
"Sea Island GC (Seaside)",70,6877,435,195,-1.04,0.01,-0.02,-0.4,279.8,15.7,0.7652,0.7604,0.012,0.034
"The Summit Club",72,7359,474,181,-3.05,-0.03,-0.09,-0.52,298.5,19.7,0.7166,0.7589,0.087,0.085
"TPC Summerlin",71,7078,451,190,-1.38,0.05,-0.02,-0.44,297.8,19.3,0.6417,0.7538,0.004,0.021
"Detroit Golf Club",72,7311,470,182,-1.9,0,-0.05,-0.35,295,19.8,0.7074,0.753,0.008,0.06
"Robert Trent Jones GC",71,7265,465,187,-0.82,0.01,0,-0.29,285.6,17.6,0.6907,0.7526,0.037,0.058
"TPC Twin Cities",71,7217,462,193,-1.32,0,-0.02,-0.36,292.5,16.2,0.6974,0.745,0.037,0.025
"TPC Deere Run",71,7107,455,186,-1.76,-0.05,-0.04,-0.37,287.3,17.8,0.7521,0.7432,0.027,0.029
"Golf Club of Houston",72,7319,468,192,-0.51,0.05,0.04,-0.27,280.5,16.6,0.6408,0.7422,0.041,0.012
"Caves Valley Golf Club",72,7424,471,209,-1.9,0.04,-0.05,-0.39,290.2,17,0.6871,0.7421,0.032,0.065
"Waialae Country Club",70,7019,448,185,-1.23,0.04,-0.01,-0.66,290.4,20.8,0.6234,0.734,0.05,0.033
"Country Club of Jackson",72,7196,461,186,-1.39,0.01,-0.02,-0.29,285.6,17.7,0.6272,0.7321,0.021,0.013
"TPC Louisiana",72,7293,463,203,-1.62,0.06,-0.05,-0.35,275.4,16,0.7408,0.7316,0.042,0.054
"TPC Craig Ranch",72,7250,465,190,-2.76,0.01,-0.08,-0.51,293.6,16.3,0.6951,0.7291,0.018,0.051
"The Old White TPC",70,7113,451,198,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6783,0.7224,0.035,0.053
"Silverado Resort &amp; Spa (North)",72,7094,452,191,-0.99,0.08,0,-0.33,285.9,21,0.5953,0.7176,-0.003,0
"Sherwood Country Club",72,6986,464,192,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7741,0.7147,0.032,-0.003
"Congressional CC (Blue)",71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.637,0.7126,0.052,0.037
"Medinah Country Club (No. 3)",72,7470,477,199,-1.16,0.05,0.01,-0.36,290.6,18.6,0.665,0.7125,0.022,0.028
"TPC River Highlands",70,6802,432,188,-0.36,0.02,0.01,-0.27,283.6,18.7,0.6965,0.7115,0.006,0.013
"Baltusrol GC",70,7282,461,207,0.88,0.06,0.09,-0.25,280.6,18.2,0.6575,0.7068,0.01,0.054
"PGA West (Palmer)",72,6844,460,173,-1.98,0.03,0.05,-0.51,277.8,15,0.6954,0.7057,0.009,-0.037
"Pete Dye Stadium Course",72,7133,456,187,-1.24,0.09,-0.04,-0.31,279.9,16.4,0.6432,0.7001,0.037,-0.02
"Plainfield CC",70,6829,438,175,1.05,0.07,0.1,-0.21,282.2,21.7,0.5511,0.6938,-0.015,-0.005
"Hamilton Golf &amp; Country Club",70,6832,430,202,-0.62,0.09,0,-0.47,285.3,17.5,0.6332,0.6937,-0.001,0.008
"Vidanta Vallarta",71,7341,496,182,-1.12,0.04,0.04,-0.41,299.5,17.3,0.627,0.6897,0.065,0.019
"TPC Scottsdale",71,7275,467,183,-0.32,0.04,0.05,-0.34,299.6,17.8,0.6214,0.6887,-0.003,0
"Club de Golf Chapultepec",71,7287,464,197,0.43,0.18,0.05,-0.27,299.7,27.5,0.6387,0.6876,-0.044,0.031
"Pebble Beach Golf Links",72,6887,443,171,-0.45,0.06,0.03,-0.26,271.8,17.8,0.7413,0.6864,-0.039,-0.04
"Whistling Straits",72,7313,467,192,1.03,0.12,0.16,-0.26,283.7,17.5,0.6632,0.6852,-0.066,-0.005
"Crooked Stick GC",72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6788,0.6806,0.021,0.017
"Ridgewood CC",71,7290,467,190,0.09,0.01,0.06,-0.21,280.2,16.8,0.6264,0.6784,0.01,0.033
"Conway Farms GC",71,6987,445,191,-0.81,0.11,-0.02,-0.34,281,19.9,0.6496,0.6764,0.021,0.006
"Bellerive CC",70,7248,462,195,0.42,0.08,0.05,-0.27,284.9,18.6,0.6946,0.674,0.036,0.024
"TPC Boston",71,7144,454,197,0.1,0.11,0.03,-0.24,283.2,15.3,0.6828,0.6685,-0.003,-0.014
"TPC Sawgrass",72,7121,458,178,0.75,0.15,0.13,-0.3,280.4,18.5,0.651,0.6682,-0.063,-0.032
"Congaree Golf Club",71,7336,471,190,0.12,0.11,0.04,-0.26,304.8,21.3,0.6947,0.6662,-0.037,-0.004
"Glen Oaks Club",70,7246,460,201,1.61,0.14,0.13,-0.23,285.9,19.2,0.701,0.6615,-0.024,0.011
"Shadow Creek Golf Course",72,7361,472,190,-0.09,0.1,0.07,-0.28,296.2,18.1,0.6295,0.6608,0.004,0.004
"Glen Abbey GC",72,7197,466,168,-1.05,0.06,0.05,-0.44,299.9,19.4,0.5828,0.6596,-0.01,-0.071
"TPC Four Seasons Resort",70,6978,446,183,-0.01,0.02,0.06,-0.4,284.9,17.9,0.6269,0.6582,-0.002,0.027
"Colonial Country Club",70,6994,445,193,0.55,0.08,0.06,-0.23,279.7,19.2,0.6168,0.6548,-0.014,0.003
"The Concession Golf Club",72,7327,465,204,0.22,0.15,0.07,-0.28,285.8,18,0.6994,0.6532,-0.015,-0.001
"Muirfield Village Golf Club (Workday)",72,7311,470,187,0.07,0.16,0.05,-0.27,292.2,19.4,0.6625,0.6524,0.005,-0.023
"TPC Southwind",70,7085,456,174,0.31,0.05,0.07,-0.39,289.3,17.7,0.6547,0.6511,0.004,-0.022
"Torrey Pines (South)",72,7577,486,194,1.14,0.1,0.17,-0.24,288.3,15.7,0.6058,0.6407,-0.003,0.005
"Liberty National Golf Club",71,7201,460,190,-0.3,0.05,0.07,-0.43,286.4,17.2,0.6817,0.6398,0.012,0.004
"Memorial Park Golf Course",70,7081,478,177,0.98,0.06,0.11,-0.13,290.7,16.6,0.6254,0.6393,-0.031,-0.008
"East Lake Golf Club",70,7277,461,205,0.82,0.14,0.09,-0.42,289.3,16.5,0.6188,0.6387,0.016,-0.008
"Trump National Doral",72,7469,477,198,1.89,0.19,0.18,-0.17,285,19,0.5703,0.6368,-0.032,-0.064
"TPC San Antonio (Oaks Course)",72,7305,468,187,0.44,0.07,0.09,-0.19,288.9,18.7,0.6366,0.6368,-0.046,-0.013
"TPC Potomac at Avenel Farm",70,7069,451,190,0.93,0.07,0.08,-0.13,280.8,18.1,0.6629,0.635,0.007,-0.002
"TPC Harding Park",70,7180,457,197,1.04,0.12,0.11,-0.38,288.2,19.5,0.5839,0.6338,-0.03,0.006
"Muirfield Village Golf Club",72,7332,470,187,0.85,0.17,0.12,-0.25,285.7,17.1,0.7114,0.631,-0.023,-0.043
"Quail Hollow Club",71,7409,474,195,0.93,0.15,0.12,-0.29,295.2,20.4,0.5815,0.6306,-0.022,-0.011
"Harbour Town Golf Links",71,6947,444,183,-0.02,0.13,0.04,-0.34,274.6,19.5,0.6205,0.6286,0.005,-0.039
"Innisbrook Resort (Copperhead)",71,7083,469,199,0.71,0.12,0.11,-0.23,276.3,17,0.6401,0.6264,-0.026,-0.015
"Eagle Point Golf Club",72,7291,470,176,0.7,0.11,0.07,-0.11,284.8,16.6,0.6586,0.6257,-0.039,-0.052
"Bay Hill Club &amp; Lodge",72,7355,465,210,1.02,0.18,0.15,-0.3,280.3,18.3,0.6785,0.6236,-0.039,-0.052
"Bethpage Black",71,7355,469,196,2.11,0.16,0.18,-0.23,287.7,17.2,0.6391,0.621,-0.022,-0.038
"The Riviera Country Club",71,7241,463,190,0.68,0.09,0.14,-0.41,285.5,19.9,0.5178,0.6195,-0.002,0.02
"PGA National (Champion)",70,7016,448,187,1.59,0.2,0.12,-0.34,276.5,16.2,0.6719,0.6167,-0.025,-0.074
"Augusta National Golf Club",72,7444,479,183,2.1,0.19,0.24,-0.26,292,20.9,0.6931,0.6121,-0.055,-0.051
"Firestone CC (South)",70,7337,467,200,1.48,0.09,0.12,-0.18,298.8,22.1,0.5774,0.6063,-0.038,-0.007
"Olympia Fields CC (North)",70,7284,465,194,2.66,0.16,0.18,-0.09,297.1,23.9,0.5527,0.6056,-0.063,-0.016
"Pebble Beach Golf Links (U.S. Open)",71,7003,450,176,1.61,0.11,0.15,-0.16,270.2,17.9,0.6493,0.6044,-0.032,-0.045
"Torrey Pines South (U.S. Open)",71,7635,490,194,2.57,0.18,0.2,-0.12,300.8,17.8,0.487,0.5854,-0.042,-0.013
"Southern Hills Country Club",70,7418,471,213,2.65,0.24,0.17,-0.15,299.4,20.9,0.6198,0.565,-0.056,-0.038
"Quail Hollow Club (PGA Championship)",71,7488,476,208,2.84,0.23,0.25,-0.26,290.5,19.1,0.6482,0.5622,-0.063,-0.005
"Winged Foot GC",70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,0.5485,-0.001,-0.023
"Ocean Course at Kiawah Island",72,7671,489,207,2.57,0.29,0.21,-0.17,293,17.9,0.6439,0.5469,-0.088,-0.054
