player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"McIlroy, Rory",150,pga,1,4,3,5,2.21367870091697
"Thomas, Justin",150,pga,2,0,5,1,2.2113981921719
"Scheffler, Scottie",150,pga,3,-2,1,0,2.09213984996232
"Rahm, Jon",150,pga,4,0,2,0,1.97977937925785
"Cantlay, Patrick",150,pga,5,1,4,-1,1.9125034312124198
"Burns, Sam",150,pga,6,3,9,0,1.81125507635708
"Smith, Cameron",150,pga,7,-4,6,-2,1.80436968143229
"Lowry, Shane",150,pga,8,-1,24,1,1.7830002299670902
"Schauffele, Xander",150,pga,9,-1,12,0,1.67868426260075
"Fitzpatrick, Matthew",150,pga,10,1,18,-1,1.60267783487838
"Im, Sungjae",150,pga,11,-1,21,1,1.57914202707582
"Conners, Corey",150,pga,12,5,30,1,1.5393222358341598
"Finau, Tony",150,pga,13,13,15,3,1.4905780839734097
"Zalatoris, Will",150,pga,14,-2,14,0,1.4817408531612501
"Niemann, Joaquin",150,pga,15,-2,17,-1,1.45174443735517
"Hovland, Viktor",150,pga,16,-2,8,-1,1.44267180732289
"Matsuyama, Hideki",150,pga,17,-2,13,0,1.40602412747972
"Homa, Max",150,pga,18,-2,23,0,1.39729893313317
"Horschel, Billy",150,pga,19,-1,11,0,1.3664526969023898
"Spieth, Jordan",150,pga,20,-1,10,0,1.31395770942978
"Berger, Daniel",150,pga,21,-1,25,1,1.28296846685507
"Pereira, Mito",150,pga,22,-1,45,0,1.2514400688092
"Johnson, Dustin",150,pga,23,5,16,-1,1.22453182402847
"Wise, Aaron",150,pga,24,-1,44,0,1.2220889586411001
"Fleetwood, Tommy",150,pga,25,-1,40,0,1.21853270198728
"Morikawa, Collin",150,pga,26,-1,7,-2,1.20855804524357
"Varner III, Harold",150,pga,27,4,35,3,1.19508993051007
"Bradley, Keegan",150,pga,28,-1,47,0,1.1802122398427901
"Gooch, Talor",150,pga,29,1,36,-1,1.1576687328451798
"Henley, Russell",150,pga,30,-1,49,-1,1.1138469874727701
"Oosthuizen, Louis",150,pga,31,1,22,-1,1.1071295426185401
"Hatton, Tyrrell",150,pga,32,-10,26,-2,1.06114719769732
"Kirk, Chris",150,pga,33,9,59,7,1.05039517365694
"Power, Seamus",150,pga,34,-1,41,0,1.0414128146999
"Young, Cameron",150,kft,35,-1,31,-1,1.02878920290822
"Rose, Justin",150,pga,36,24,48,10,0.942608504730152
"Garcia, Sergio",150,pga,37,-2,55,2,0.9421120732462449
"Harman, Brian",150,pga,38,-1,50,-1,0.9404114569194871
"Mitchell, Keith",150,pga,39,11,62,11,0.923878787179146
"Casey, Paul",150,pga,40,-1,27,0,0.9214185555895841
"Kuchar, Matt",150,pga,41,-1,80,3,0.9186073012518091
"McCarthy, Denny",150,pga,42,-1,121,0,0.9056594379255821
"Munoz, Sebastian",150,pga,43,2,54,2,0.886643764336168
"Noren, Alex",150,pga,44,-6,60,0,0.879250905107473
"Riley, Davis",150,kft,45,-2,85,1,0.862854506479228
"Ancer, Abraham",150,pga,46,-2,20,-1,0.8484861375928331
"Simpson, Webb",150,pga,47,-1,56,-1,0.8171644005626221
"Na, Kevin",150,pga,48,-12,33,1,0.816236176470976
"Hoge, Tom",150,pga,49,-2,39,0,0.801691758492914
"Kim, Si Woo",150,pga,50,-2,57,-4,0.7874889465026941
"Watson, Bubba",150,pga,51,-2,67,4,0.78026241505354
"Koepka, Brooks",150,pga,52,-1,19,1,0.7589120392676891
"Kokrak, Jason",150,pga,53,-1,34,-1,0.7235989689265451
"Hadwin, Adam",150,pga,54,-1,105,3,0.7231650799240541
"Day, Jason",150,pga,55,-1,132,0,0.7087523518860529
"Todd, Brendon",150,pga,56,14,110,5,0.7038444916035379
"McNealy, Maverick",150,pga,57,-2,83,2,0.7008253036300028
"Leishman, Marc",150,pga,58,-1,52,0,0.685049750787919
"Scott, Adam",150,pga,59,-1,43,0,0.670691397010144
"Tringale, Cameron",150,pga,60,-1,58,-4,0.667868897665582
"Perez, Pat",150,pga,61,0,170,-2,0.65104102535319
"Merritt, Troy",150,pga,62,0,98,0,0.644231870483956
"Steele, Brendan",150,pga,63,0,108,2,0.622005321379398
"Vegas, Jhonattan",150,pga,64,-8,101,-1,0.610346470181473
"Bezuidenhout, Christiaan",150,pga,65,-1,68,-3,0.579567120727849
"Reed, Patrick",150,pga,66,-1,38,-2,0.5756494961009799
"DeChambeau, Bryson",150,pga,67,-1,29,-1,0.570738950123514
"Griffin, Lanto",150,pga,68,-1,106,-2,0.563637387877561
"Woodland, Gary",150,pga,69,-1,113,1,0.5601669309725671
"English, Harris",150,pga,70,-1,28,1,0.5582586873469761
"Howell III, Charles",150,pga,71,0,190,3,0.5549377591205329
"Davis, Cameron",150,pga,72,0,79,2,0.551001989350873
"List, Luke",150,pga,73,0,61,-2,0.5467428857068629
"Lee, Kyounghoon",150,pga,74,1,42,0,0.532408978947147
"Fox, Ryan",150,euro,75,-1,63,-1,0.532290660225646
"Long, Adam",150,pga,76,5,197,5,0.527468642850293
"Rai, Aaron",150,euro,77,10,128,10,0.523667357004705
"Pan, C.T.",150,pga,78,-1,131,-2,0.46487437752486105
"Horsfield, Sam",150,euro,79,21,75,-1,0.459648429873003
"Herbert, Lucas",150,pga,80,-2,46,0,0.456470235998932
"Straka, Sepp",150,pga,81,-2,51,-1,0.45146734373802294
"Poulter, Ian",150,pga,82,-6,93,-1,0.450302970366387
"Pieters, Thomas",150,euro,83,-3,37,0,0.44090808086749705
"Rodgers, Patrick",150,pga,84,14,216,7,0.432600252797436
"Dahmen, Joel",150,pga,85,-3,130,-2,0.42164514491691707
"NeSmith, Matthew",150,pga,86,-3,166,-3,0.414357094705512
"Hughes, Mackenzie",150,pga,87,1,73,4,0.409469550255224
"Van Rooyen, Erik",150,pga,88,-4,76,0,0.40788365975198104
"Stallings, Scott",150,pga,89,-4,149,-2,0.3959369887667801
"Pendrith, Taylor",150,kft,90,-1,246,-10,0.32626411362791197
"Lahiri, Anirban",150,pga,91,0,84,-2,0.321741486572824
"Hubbard, Mark",150,pga,92,5,274,4,0.321414524128494
"Glover, Lucas",150,pga,93,0,115,-2,0.31875473987398
"Smith, Jordan",150,euro,94,0,124,1,0.310865106955918
"Meronk, Adrian",150,euro,95,0,104,-1,0.310247718466672
"Arnaus, Adri",150,euro,96,0,53,-2,0.309008870106795
"Lipsky, David",150,kft,97,-5,191,-4,0.30589728094129
"Smalley, Alex",150,pga,98,13,155,21,0.27816308514616495
"Spaun, J.J.",150,pga,99,-9,102,0,0.273401723402244
"Kisner, Kevin",150,pga,100,1,32,0,0.271325295504598
"Molinari, Francesco",150,pga,101,2,175,-1,0.25810697670696
"Ghim, Doug",150,pga,102,17,199,9,0.25028247533120895
"Schwartzel, Charl",150,pga,103,48,125,1,0.231105464130345
"Jones, Matt",150,pga,104,-5,72,-3,0.221135297985017
"Theegala, Sahith",150,pga,105,-3,119,-3,0.219786475830286
"Fowler, Rickie",150,pga,106,1,146,-1,0.217670856629189
"Knox, Russell",150,pga,107,1,180,-2,0.21696919801801398
"Grace, Branden",150,pga,108,40,123,0,0.203025948903601
"Taylor, Nick",150,pga,109,11,234,3,0.19391138926056894
"Poston, J.T.",150,pga,110,-4,158,-3,0.181910330323903
"Streelman, Kevin",150,pga,111,-2,122,0,0.17838575672255397
"Johnson, Zach",150,pga,112,-2,250,-7,0.173664662006732
"Frittelli, Dylan",150,pga,113,-9,140,-5,0.16980427249298402
"Du Plessis, Hennie",150,cha,114,44,134,-1,0.165737435576966
"Wiesberger, Bernd",150,euro,115,-29,95,-1,0.164641689035953
"Bekker, Oliver",150,cha,116,18,96,0,0.15799576918997799
"Harding, Justin",150,euro,117,7,111,-2,0.14997506477852499
"Stricker, Steve",150,champ,118,-13,9999,0,0.147785518415052
"Schenk, Adam",150,pga,119,-7,172,0,0.145848312961231
"Cink, Stewart",150,pga,120,-7,87,0,0.14531399663851502
"Montgomery, Taylor",150,kft,121,-7,213,-2,0.14007826269872303
"Sabbatini, Rory",150,pga,122,-7,156,-3,0.135043597156461
"Lee, Danny",150,pga,123,32,243,41,0.134368573085989
"Stenson, Henrik",150,pga,124,14,150,91,0.12915866294063302
"Hossler, Beau",150,pga,125,-9,162,-2,0.11469332474623001
"Svensson, Adam",150,kft,126,23,173,11,0.10036376111503698
"Clark, Wyndham",150,pga,127,39,239,54,0.0970999256395635
"Putnam, Andrew",150,pga,128,-6,153,-3,0.0951703160964545
"Huh, John",150,pga,129,18,224,9,0.0938202071928108
"Grillo, Emiliano",150,pga,130,6,144,2,0.0902176256259931
"Lashley, Nate",150,pga,131,-8,283,-12,0.0862682037300548
"Laird, Martin",150,pga,132,-11,181,-11,0.0684021277503135
"Larrazabal, Pablo",150,euro,133,7,71,-1,0.0438425822008999
"Palmer, Ryan",150,pga,134,-7,100,1,0.0392274547633811
"Perez, Victor",150,euro,135,-7,90,3,0.038381226669757004
"Thompson, Michael",150,pga,136,-6,225,-5,0.0326422690619542
"Piercy, Scott",150,pga,137,27,264,15,0.0292210113128836
"Whaley, Vincent",150,pga,138,15,295,5,0.0283771915467225
"Canter, Laurie",150,euro,139,-4,120,-1,0.0283299711604379
"Schwab, Matthias",150,euro,140,-22,205,-4,0.027193878325342005
"Willett, Danny",150,pga,141,16,141,1,0.0219251512907961
"Armour, Ryan",150,pga,142,17,354,4,0.0077907729876775
"Champ, Cameron",150,pga,143,-17,118,-1,0.00703353103878567
"Alker, Steven",150,kft,144,-11,9999,0,0.0057780970947586795
"Duncan, Tyler",150,pga,145,-4,378,-10,0.000796706807379765
"Yuan, Yechun",150,kft,146,-7,138,-1,-0.00656273324780691
"Hoshino, Rikuya",150,jpn,147,-5,64,-1,-0.0162423568014338
"Hahn, James",150,pga,148,-5,258,-6,-0.0171559113140907
"Kizzire, Patton",150,pga,149,-5,145,-4,-0.0195499310772648
"Otaegui, Adrian",150,euro,150,20,168,-3,-0.0222829264597556
"Ramey, Chad",150,kft,151,-5,127,0,-0.0295824728667518
"Burmester, Dean",150,euro,152,-20,88,0,-0.0320754189871233
"Malnati, Peter",150,pga,153,-36,235,-8,-0.0496765351323441
"Lebioda, Hank",150,pga,154,18,265,10,-0.0527758554183464
"Hojgaard, Rasmus",150,euro,155,-18,142,-11,-0.0534988151699234
"Reavie, Chez",150,pga,156,-4,219,-2,-0.0582714397506491
"Ryder, Sam",150,pga,157,-12,251,-9,-0.0674572932425081
"Bjork, Alexander",150,euro,158,-27,160,-8,-0.0677393774658517
"Jaeger, Stephan",150,kft,159,-30,183,-6,-0.0718588450756786
"Macintyre, Robert",150,euro,160,-6,92,-2,-0.0748280764242247
"Uihlein, Peter",150,pga,161,35,332,-5,-0.0757728548969195
"Barnes, Erik",150,kft,162,-37,325,-13,-0.0786807956878563
"Ortiz, Carlos",150,pga,163,-2,112,0,-0.0854019653543379
"Smotherman, Austin",150,kft,164,3,302,7,-0.0893802178879937
"Langasque, Romain",150,euro,165,9,254,22,-0.0923218679888393
"Garnett, Brice",150,pga,166,-10,304,-8,-0.11375081509415699
"Hardy, Nick",150,kft,167,12,371,12,-0.11468733674451
"Molinari, Edoardo",150,euro,168,-8,233,-1,-0.127688033249886
"Kitayama, Kurt",150,pga,169,-6,143,-3,-0.127755036845033
"Korhonen, Mikko",150,euro,170,-5,217,-5,-0.129807344169133
"Bland, Richard",150,euro,171,-2,70,-3,-0.14062782700261903
"Daffue, MJ",146,kft,172,-22,296,-6,-0.157558987305978
"Moore, Ryan",150,pga,173,16,382,12,-0.17577717262414902
"McDowell, Graeme",150,pga,174,20,374,0,-0.18338211535584398
"Haley II, Paul",150,kft,175,28,323,8,-0.19156692733906303
"Hodges, Lee",150,kft,176,5,227,-1,-0.202013457664768
"Donald, Luke",150,pga,177,-9,9999,0,-0.202978500350702
"Moore, Taylor",150,kft,178,-2,186,-5,-0.20539666003890303
"Mansell, Richard",150,euro,179,-1,282,-9,-0.20992223702051396
"Swafford, Hudson",150,pga,180,-18,94,1,-0.21032617149448898
"Suh, Justin",150,kft,181,11,383,8,-0.217220705288871
"Lee, Min Woo",150,euro,182,0,64,-3,-0.230342021922544
"Armitage, Marcus",150,euro,183,0,188,-5,-0.231253975050893
"Aberg, Ludvig",150,am,184,1,9999,0,-0.23951637799084802
"Hickok, Kramer",150,pga,185,-14,174,-3,-0.24210308143468104
"Hoffman, Charley",150,pga,186,18,163,4,-0.24373179422842897
"Lower, Justin",150,kft,187,19,425,15,-0.24662218146221002
"Seiffert, Chase",150,pga,188,32,428,24,-0.251083867400905
"Sigg, Greyson",150,kft,189,-14,211,-6,-0.25200617418938
"Kim, Joohyung",150,kor,190,-3,66,-2,-0.256822296777206
"Scrivener, Jason",150,euro,191,30,187,27,-0.264140073755824
"Hill, Calum",150,euro,192,-4,169,-8,-0.264329492812987
"Haas, Bill",150,pga,193,0,9999,0,-0.26893914428988397
"Westwood, Lee",150,pga,194,-10,81,-3,-0.274027225128371
"Detry, Thomas",150,euro,195,-5,167,-8,-0.27484959201081
"Olesen, Thorbjorn",150,euro,196,-5,182,0,-0.281931909384617
"Novak, Andrew",150,kft,197,-17,362,-5,-0.29287246606205103
"Brun, Julien",150,cha,198,-12,176,-10,-0.31013466904707504
"Snedeker, Brandt",150,pga,199,6,303,3,-0.31388641584260496
"Stuard, Brian",150,pga,200,-27,277,-14,-0.315777419951433
"Redman, Doc",150,pga,201,-4,328,-4,-0.321209728416293
"Streb, Robert",150,pga,202,-4,184,-5,-0.32185665450475603
"Gutschewski, Scott",150,kft,203,-2,9999,0,-0.322816972384931
"Taylor, Vaughn",150,pga,204,12,430,9,-0.32329915450916197
"Coetzee, George",150,euro,205,-6,209,-5,-0.326780627366153
"Besseling, Wil",150,euro,206,-6,255,-8,-0.331373782645402
"Thompson, Davis",150,kft,207,-30,287,-6,-0.332200060177788
"Lopez-Chacarra, Eugenio",150,am,208,-6,9999,0,-0.337681974509117
"Veerman, Johannes",150,euro,209,5,147,-4,-0.3418721089372981
"Pavon, Matthieu",150,euro,210,31,230,21,-0.34229389260486404
"Kaymer, Martin",150,euro,211,17,221,-6,-0.35301556073417895
"Norris, Shaun",150,jpn,212,0,69,-1,-0.35356284223021095
"Paul, Jeremy",150,kft,213,-4,9999,0,-0.35730459389582897
"Zanotti, Fabrizio",150,euro,214,-3,299,-10,-0.36136476331276596
"Hall, Harry",150,kft,215,-2,245,-10,-0.37325847708158894
"Wu, Ashun",150,euro,216,-1,165,-3,-0.376896159882445
"Wu, Brandon",150,kft,217,1,272,-11,-0.38779733746664397
"Tarren, Callum",150,kft,218,-8,445,-16,-0.40478436623254604
"Eckroat, Austin",150,am,219,5,9999,0,-0.407754922929514
"Moller, Niklas Norgaard",150,cha,220,27,346,29,-0.4095564806382439
"Catlin, John",150,euro,221,9,207,-1,-0.42339843278892303
"Percy, Cameron",150,pga,222,0,376,-14,-0.42759776839873104
"Wolff, Matthew",150,pga,223,2,74,1,-0.43069351802001593
"Norlander, Henrik",150,pga,224,2,319,-15,-0.432115131625823
"Ramsay, Richie",150,euro,225,2,338,-6,-0.43245292285541603
"Byrd, Jonathan",150,pga,226,16,9999,0,-0.43797071452440595
"Lawrence, Thriston",150,euro,227,-10,164,-10,-0.43915756753499896
"Walters, Justin",150,euro,228,15,310,11,-0.442611581028478
"Bramlett, Joseph",150,pga,229,-21,256,-10,-0.453604368035822
"Paul, Yannik",150,cha,230,4,200,-4,-0.46178324925618297
"McGirt, William",150,pga,231,2,9999,0,-0.46185007528531297
"Long, Hurly",150,cha,232,3,218,-5,-0.463061859978896
"Kanaya, Takumi",150,jpn,233,-14,86,-7,-0.4654337668685021
"Schneider, Marcel",150,euro,234,3,192,-3,-0.46681612564266206
"Jamieson, Scott",150,euro,235,3,311,-12,-0.466827802945826
"Wallace, Matt",150,pga,236,16,148,1,-0.467766218096364
"Kohles, Ben",150,kft,237,3,9999,0,-0.46812271176678905
"Martin, Ben",150,pga,238,6,357,-3,-0.47356145228915797
"Bryan, Wesley",150,pga,239,-7,9999,0,-0.48199500779592497
"Kim, Bio",150,kor,240,5,99,6,-0.498158153848757
"Zecheng, Marty Dou",150,kft,241,-34,358,-7,-0.49920487398610397
"Shelton, Robby",150,pga,242,82,366,0,-0.517707111075763
"Sloan, Roger",150,pga,243,7,327,-5,-0.527464235288859
"Fisher, Ross",150,euro,244,2,297,-10,-0.528646604738423
"Samooja, Kalle",150,euro,245,3,136,-2,-0.530421280083081
"Coody, Pierceson",150,am,246,-17,9999,0,-0.5313851931252561
"Oppenheim, Rob",150,pga,247,32,9999,0,-0.531638878187058
"Higa, Kazuki",150,jpn,248,-17,82,-2,-0.534827226879192
"Bridgeman, Jacob",150,am,249,60,9999,0,-0.536989135380848
"Albertson, Anders",150,kft,250,44,345,18,-0.549605927344991
"Ritchie, JC",150,cha,251,6,157,-1,-0.553274786510332
"Mullinax, Trey",150,kft,252,-13,344,-10,-0.554058379747298
"Kraft, Kelly",150,pga,253,85,9999,0,-0.5542248254583979
